Highest Layer,Transport Layer,Source IP,Dest IP,Source Port,Dest Port,Packet Length,Packets/Time,target
DATA,None,1,10.0.2.5,0,0,1514,1.803373802573444,1
DATA,None,1,10.0.2.5,0,0,1514,1.8218654238725873,1
DATA,None,1,10.0.2.5,0,0,1514,1.8409340192854087,1
DATA,None,1,10.0.2.5,0,0,1514,1.8588985055021352,1
DATA,None,1,10.0.2.5,0,0,1514,1.8784272067717576,1
DATA,None,1,10.0.2.5,0,0,1514,1.8958301183001516,1
DATA,None,1,10.0.2.5,0,0,1514,1.914416088306966,1
DATA,None,1,10.0.2.5,0,0,1514,1.9330624456540386,1
DATA,None,1,10.0.2.5,0,0,1514,1.9516418284473038,1
DATA,None,1,10.0.2.5,0,0,1514,1.9688878802281904,1
DATA,None,1,10.0.2.5,0,0,1514,1.9875052761635341,1
DATA,None,1,10.0.2.5,0,0,1514,2.006674044621569,1
DATA,None,1,10.0.2.5,0,0,1514,2.0253720627484926,1
DATA,None,1,10.0.2.5,0,0,1514,2.043591923220925,1
DATA,None,1,10.0.2.5,0,0,1514,2.0615184901463603,1
DATA,None,1,10.0.2.5,0,0,1514,2.0792267372243525,1
DATA,None,1,10.0.2.5,0,0,1514,2.0963690709881426,1
DATA,None,1,10.0.2.5,0,0,1514,2.111050185058647,1
DATA,None,1,10.0.2.5,0,0,1514,2.1290163424408446,1
DATA,None,1,10.0.2.5,0,0,1514,2.143013901158906,1
DATA,None,1,10.0.2.5,0,0,1514,2.1618013433995347,1
DATA,None,1,10.0.2.5,0,0,1514,2.1768257650716683,1
DATA,None,1,10.0.2.5,0,0,1514,2.1937221071052933,1
DATA,None,1,10.0.2.5,0,0,1514,2.2113461714489513,1
DATA,None,1,10.0.2.5,0,0,1514,2.228204731334323,1
DATA,None,1,10.0.2.5,0,0,1514,2.2479476357032695,1
DATA,None,1,10.0.2.5,0,0,1514,2.265333857695831,1
DATA,None,1,10.0.2.5,0,0,1514,2.283317020679606,1
DATA,None,1,10.0.2.5,0,0,1514,2.3010039337688903,1
DATA,None,1,10.0.2.5,0,0,1514,2.31746435034608,1
DATA,None,1,10.0.2.5,0,0,1514,2.3336667727248677,1
DATA,None,1,10.0.2.5,0,0,1514,2.350441328760093,1
DATA,None,1,10.0.2.5,0,0,1514,2.3667611219490845,1
DATA,None,1,10.0.2.5,0,0,1514,2.382216060836299,1
DATA,None,1,10.0.2.5,0,0,1514,2.3874520761071545,1
DATA,None,1,10.0.2.5,0,0,1514,2.4036242444015388,1
DATA,None,1,10.0.2.5,0,0,1514,2.417223994400778,1
DATA,None,1,10.0.2.5,0,0,1514,2.43496784124396,1
DATA,None,1,10.0.2.5,0,0,1514,2.450145935272887,1
ICMP,None,1,10.0.2.5,0,0,1402,2.420144715395396,1
DATA,None,1,10.0.2.7,0,0,1514,2.4318326463955384,1
DATA,None,1,10.0.2.7,0,0,1514,2.4450503477305325,1
DATA,None,1,10.0.2.7,0,0,1514,2.458542999746144,1
DATA,None,1,10.0.2.7,0,0,1514,2.473491108975763,1
DATA,None,1,10.0.2.7,0,0,1514,2.4874382206405827,1
DATA,None,1,10.0.2.7,0,0,1514,2.502430843753801,1
DATA,None,1,10.0.2.7,0,0,1514,2.518238901515147,1
DATA,None,1,10.0.2.7,0,0,1514,2.5347969997293394,1
DATA,None,1,10.0.2.7,0,0,1514,2.5459307649117506,1
DATA,None,1,10.0.2.7,0,0,1514,2.5582228451368496,1
DATA,None,1,10.0.2.7,0,0,1514,2.5706454080987564,1
DATA,None,1,10.0.2.7,0,0,1514,2.5846411954554718,1
DATA,None,1,10.0.2.7,0,0,1514,2.5962892168500202,1
DATA,None,1,10.0.2.7,0,0,1514,2.6126446123391203,1
ICMP,None,1,10.0.2.7,0,0,1402,2.582137712238306,1
DATA,None,1,10.0.2.7,0,0,1514,2.593574591678602,1
DATA,None,1,10.0.2.7,0,0,1514,2.6067304767870922,1
DATA,None,1,10.0.2.7,0,0,1514,2.6152145102845124,1
DATA,None,1,10.0.2.7,0,0,1514,2.6206128219447495,1
DATA,None,1,10.0.2.7,0,0,1514,2.6301470312967408,1
